Mineral Name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45a,p45b,p46,p47a,p47b,p47c,p47d,p47e,p47f,p47g,p47h,p47i,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,Lunar,BQ,BS,BT
Alloclasite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,Co3+(AsS)3-
Allophane,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,4,Al2O3(SiO2)1.3-2.0¬∑2.5-3.0H2O
Alloriite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,"(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(S6+O4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4"
Alluaivite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,"Na19(Ca,Mn2+)6(Ti4+,Nb5+)3Si26O74Cl¬∑2H2O"
Alluaudite,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,NaMn2+Fe3+2(PO4)3
Almandine,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,Fe2+3Al2(SiO4)3
Almarudite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,"K([box],Na)2Mn2+2(Be3Si12)O30"
Almeidaite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,"Pb2+Zn2+2(Mn2+,Y3+)(Ti4+,Fe3+)18O36(OH,O)2"
Alnaperbøeite-(Ce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,(CaCe2.5Na0.5)Al4(Si2O7)(SiO4)3O(OH)2
Alpeite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(V5+O4)(OH)6
Alpersite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,1,,,,2,,MgS6+O4¬∑7H2O
Alsakharovite-Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"NaSrKZn2+(Ti4+,Nb5+)4(Si4O12)2(O,OH)4¬∑7H2O"
Alstonite,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,BaCa(CO3)2
Altaite,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Pb2+Te2-
Alterite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,6,Zn2+2Fe3+4(S6+O4)4((C2)6+O4)2(OH)4¬∑17H2O
Althausite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,"Mg4(PO4)2(OH,O)(F,[box])"
Althupite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,1,6,AlTh4+(U6+O2)7(PO4)4O2(OH)5¬∑15H2O
Altisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Na3K6Ti4+2Al2Si8O26Cl3
Alum-(K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,,2,5,KAl(SO4)2¬∑12H2O
Alum-(Na),,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,,1,,,,,4,5,NaAl(SO4)2¬∑12H2O
